UNIVERS,,UNIVERS,LIBELLE,occurence
VIS_CNUIT Autres,1343,VIS_CNUIT Autres,SOIN RECUPERATEUR NOCT INOS 40,12
VIS_CNUIT BIO,1347,VIS_CNUIT BIO,BIO CR NUIT ANTI RIDES P50,394
VIS_CNUIT Jeunes Specifique,1348,VIS_CNUIT Jeunes Specifique,CR NUIT NUTRI INTENSE NUT/VEG P50ML,4529
VIS_DEMAQ AAAR,1349,VIS_DEMAQ AAAR,25 LINGETTES DEFROISSANTES SV,26604
VIS_DEMAQ Autres,1356,VIS_DEMAQ Autres,DEMAQ.EXPRESS YEUX BLEUET 125,3
VIS_DEMAQ BIO,1357,VIS_DEMAQ BIO,BIO LAIT ONTUEUX DEMAQ 200ML,1761
VIS_DEMAQ BLEUET,1360,VIS_DEMAQ BLEUET,DEMAQ EXPRESS PUR BLEUET FL125ML,158762
VIS_DEMAQ Jeunes Specifique,1363,VIS_DEMAQ Jeunes Specifique,GEL NETT HYDRA VEG T125ML,25506
VIS_DEMAQ PUR,1375,VIS_DEMAQ PUR,LINGETTES CALMILLE 2013,62327
VIS_LOTIONS AAAR,1380,VIS_LOTIONS AAAR,LOTION 3 THES FL200ML,9945
VIS_LOTIONS Autres,1382,VIS_LOTIONS Autres,LOTION FL NUTRISP 150 ML,12
VIS_LOTIONS BIO,1383,VIS_LOTIONS BIO,BIO LOTION DU COUCHER FL200ML,1
VIS_LOTIONS Jeunes Specifique,1384,VIS_LOTIONS Jeunes Specifique,HYDRA TONIQUE FL 200ML,13881
VIS_MASQUE AAAR,1390,VIS_MASQUE AAAR,MASQUE SUPRA LIFT OV/LIF T40ML,2609
VIS_MASQUE Jeunes Specifique,1392,VIS_MASQUE Jeunes Specifique,GOMM ABRICOT  BTE CROQUER T50,45335
VIS_MASQUE PUR,1410,VIS_MASQUE PUR,GOMMAGE DOUCEUR PURE CAL 75ml,17590
VIS_SOIN HOMMES,1411,VIS_SOIN HOMMES,B.A.R SENSITIVE 100ML,9649
VIS_SOIN LEVRES,1422,VIS_SOIN LEVRES,BAUME LEVR SENT FRAMBOISE 4G,42748
VIS_TRAIT AAAR,1452,VIS_TRAIT AAAR,CONTOUR YEUX AntiAge GLOBAL 15,8729
VIS_TRAIT BIO,1471,VIS_TRAIT BIO,BIO FLUIDE REVEIL REGARD TB15ML,321
VIS_TRAIT Jeunes Specifique,1474,VIS_TRAIT Jeunes Specifique,GELEE HYDRAT YX HYDRA/VEG 15ML,5654
